18658840,56470
18661242,0
18661262,19333
18662470,3010
18663919,0
18664124,0
18664413,0
18664424,0
18665782,4421
18667508,0
18668001,0
18668084,0
18668490,0
18668988,353
18670523,0
18670830,75505
18671303,0
18672812,0
18673500,41883
18673986,20000
18674295,0
18674782,0
18675133,845
18675199,30000
18675730,29032
18677276,0
18678400,19074
18679480,0
18680690,15000
18681495,0
18682713,0
18682746,0
18683898,0
18685314,0
18685371,0
18687112,6643
18687187,149914
18687461,11111
18687494,0
18688271,0
18689384,0
18690794,0
18691651,0
18693342,24375
18693469,0
18695092,0
18695189,0
18697967,144667
18701882,0
18702368,0
18703483,0
18703540,0
18704098,0
18704704,0
18706060,0
18707272,0
18711987,0
18711993,0
18714372,25000
18714748,0
18714839,10072
18715629,0
18716209,0
18716454,0
18718958,0
18719837,0
18720355,7786
18721569,17061
18724152,0
18724918,0
18725569,3321
18725671,0
18727410,0
18727479,0
18728240,0
18728813,10345
18728832,10345
18729416,0
18730256,30883
18731914,18857
18734738,0
18735851,32169
18735936,0
18736221,0
18737650,0
18737883,0
18739647,0
18740139,50056
18742306,0
18742418,0
18743682,0
18746987,23759
18747460,10094
18747962,0
18748115,59490
18749303,0
18749654,0
18749852,55905
18749966,1000
18750614,0
18750655,54388
18753258,0
18754908,0
18755542,0
18756652,0
18757144,0
18762245,0
18763114,0
18763227,0
18763267,43641
18763416,169160
18763500,16071
18763994,0
18765655,0
18766613,0
18770152,0
18778058,0
18779708,26100
18780421,14857
18784093,15000
18784369,0
18784852,0
18784864,0
18788027,0
18791186,21667
18791582,0
18794035,0
18794275,0
18794855,0
18795050,0
18795402,0
18798869,0
18799335,8572
18800764,0
18800848,24490
18800894,0
18802487,0
18803299,0
18806759,4839
18806806,0
18808129,0
18808441,6643
18809196,0
18812136,12857
18812996,0
18813130,0
18816232,0
18817992,0
18818519,0
18819458,9678
18820929,12000
18821000,0
18821942,8000
18822306,0
18822380,0
18825011,600
18851469,9214
18854176,0
18862404,0
18865610,17308
18865836,0
18866130,0
18866695,21290
18866927,0
18866933,0
18869156,21055
18877504,0
18877505,20000
18878638,0
18879865,0
18880562,0
18881676,0
18884150,0
18886852,0
18888640,0
18888915,0
18890430,24861
18890472,0
18892409,4231
18892652,0
18892712,0
18896674,0
18896722,6643
18896831,8400
18897182,16667
18900625,35000
18902184,0
18921683,0
18921761,0
18922876,0
18923551,0
18924845,0
18924981,0
18926922,0
18928484,0
18929473,0
18930464,0
18933248,32143
18933852,0
18934448,9678
18937425,0
18937554,25000
18941291,2417
18941501,0
18945565,0
18946394,35000
18946457,26786
18946539,14785
18949189,0
18949223,26894
18951231,0
18953591,11112
18963098,31074
18963220,0
18963884,0
18965240,0
18965256,20068
18965750,0
18968088,0
18969608,181903
18974350,31050
18974857,0
18976590,0
18976592,0
18976986,0
18978025,0
18980332,0
18981017,0
18981531,0
18981728,0
18982463,0
18983145,0
18985131,0
18988261,0
18988548,0
18991002,0
18995016,0
18996567,0
18999955,0
18999976,15707
19001911,34310
19002799,0
19003134,0
19004747,69057
19005083,10000
19006840,0
19007152,21428
19007231,7062
19010068,0
19011219,10714
19011224,0
19011280,0
19016510,0
19018381,0
19018632,0
19019525,0
19019556,0
19025578,0
19026068,5000
19026216,0
19026687,0
19026766,21428
19026906,0
19027591,24193
19028469,0
19031238,9273
19031554,14406
19033605,0
19036449,0
19039960,0
19041939,0
19042629,8000
19048536,0
